Timestamp,class,credits,diet,sleep,dating_pref,sex,study,birthday,haircut,shoes,nervous,siblings,which_tire,height,speed,years_in_wa,snapchat,insta,travel,salary,breakfast,eyewear,rent,climate_worry
3/25/2024 13:16:27,Freshman,18,No,8,No,Female,5,Wednesday,40,4,2,1,right front,69,120,17,256,755,10,"12,000",Yes,No,750,A great deal
3/25/2024 13:17:57,Junior,14,No,8.5,yes,Female,10,Sunday,10,15,4,1,right back,63,60,20,35,350,5,"$1,600",Yes,Yes,1000,A great deal
3/25/2024 13:36:46,Junior,15,No,8,yes,Male,10,Tuesday,45,6,3,1,right front,68,105,18,60,200,4,0,No,Yes,1200,A great deal
3/25/2024 13:49:48,Junior,15,No,7,No,Male,4,Saturday,40,6,3,1,right front,68,100,21,0,60,6,"35,000",No,Yes,800,A great deal
3/25/2024 14:55:02,Senior,12,No,9,yes,Female,23,Monday,75,15,4,3,right back,64,80,3,0,592,20,0,No,No,1400,Somewhat
3/25/2024 15:00:42,Sophomore,14,No,8,No,Female,15,Thursday,70,20,4,1,left back,62,85,1,15,0,12,12000,No,No,2000,A great deal
3/25/2024 15:13:05,Junior,15,No,8,No,Female,10,Tuesday,1,20,2,5,right front,70,60,5,0,700,27,2000,Yes,Yes,1500,A little
3/25/2024 15:27:57,Junior,15,No,8,"yes, No",Female,10,Tuesday,0.00001,11,4,2,right front,67,120,20,0,50,6,0,Yes,Yes,1000,Somewhat
3/25/2024 16:46:01,Sophomore,15,No,7,yes,Female,4,Tuesday,150,9,3,1,right back,65,85,20,500,1099,7,4000,Yes,Yes,1000,A great deal
3/25/2024 18:43:35,Freshman,18,No,9,No,Female,6,Thursday,75,7,2,2,right back,62,90,13,30,700,4,"10,000",No,Yes,0,A great deal
3/25/2024 19:51:15,Sophomore,15,No,8,No,Male,5,Tuesday,70,4,3,1,right back,75,100,0,200,931,6,1500,Yes,Yes,3400,A great deal
3/25/2024 20:07:07,Sophomore,14,No,7,No,Female,6,Thursday,60,20,3,3,left front,67,85,19,208,403,7,1400,Yes,Yes,1200,A great deal
3/25/2024 21:16:17,Freshman,17,No,8,yes,Female,5,Monday,120,7,5,0,right front,63.7,NA,0,0,100,5,0,No,Yes,1700,A little
3/25/2024 21:25:15,Junior,15,No,7,No,Male,12,Tuesday,45,14,3,1,left front,69,100,21,122,605,11,12k,Yes,No,free,Somewhat
3/25/2024 21:50:19,Junior,14,No,8,yes,Male,8,Tuesday,35,10,5,1,left back,71,102,2,0,0,4,0,Yes,No,1700,Somewhat
3/25/2024 22:13:06,Freshman,17,No,7,No,Male,20,Wednesday,30,3,2,1,right back,71,NA,1,0,150,4,0,Yes,Yes,1333,A great deal
3/26/2024 1:18:20,Junior,18,No,8,No,Male,15,Saturday,30,3,1,2,right back,72,60,18,0,5,10,4200,No,No,700,A little
3/26/2024 6:58:02,Junior,15,No,8,No,Male,7,Sunday,160,3,3,1,left front,72,85,1,65,458,11,2000,Yes,No,1200,Somewhat
3/26/2024 9:04:51,Junior,12,No,9,No,Female,15,Thursday,40,15,2,2,right front,66,90,19,0,478,9,9000,Yes,No,1100,A great deal
3/26/2024 9:21:40,Senior,14,No,7,yes,Male,10,Tuesday,50,15,2,3,right front,66,140,20,0,0,6,10000,No,No,1500,Somewhat
3/26/2024 11:02:06,Sophomore,15,Yes,8,yes,Female,22,Tuesday,90,12,3,2,right front,5.6,85,1.5,400,1100,30,8000,Yes,No,1200,A great deal
3/26/2024 11:20:50,Sophomore,15,No,7,No,Male,20,Saturday,40,8,5,1,left front,73,100,1,0,397,13,0,Yes,Yes,"$1,100",A great deal
3/26/2024 11:50:29,Senior,15,No,7,No,Female,4,Friday,180,27,4,2,right front,66,113,22,237,1136,15,4000,No,Yes,1150,A great deal
3/26/2024 12:06:56,Sophomore,9,No,7,yes,Male,20,Wednesday,30,5,1,2,right front,72,40,2,0,125,7,3000,Yes,Yes,1450,A little
3/26/2024 12:55:39,Junior,16,No,8,yes,Male,5,Tuesday,18,2,1,1,left front,69,100,1,8,55,13,4320,No,Yes,1400,A great deal
3/26/2024 12:56:27,Sophomore,12,No,8.5,No,Male,12,Thursday,65,15,1,0,right front,69,92,19,50,280,14,6000,No,No,0,A little
3/26/2024 13:08:01,Sophomore,20,No,7,No,NA,6,Tuesday,150,3,2,1,left front,72,95,2,150,1257,3,6000,No,Yes,1320,Somewhat
3/26/2024 13:42:45,Freshman,18,No,8,yes,Female,35,Thursday,50,20,4,0,left front,5.5,NA,0,0,7,3,0,Yes,Yes,1400,Somewhat
3/26/2024 13:51:29,Junior,17,No,7.5,yes,Female,15,Wednesday,50,49,4,0,right back,67,120,2,400,1727,19,4532.32,Yes,No,"$1,336",Somewhat
3/26/2024 13:59:18,Sophomore,15,No,7,yes,Male,7,Thursday,80,3,3,2,right front,69,NA,1,0,31,7,0,Yes,Yes,1062,A great deal
3/26/2024 14:12:54,Senior,18,No,6,No,Female,30,Monday,25,3,2,1,left front,60.25,80,18,0,259,12,2000,No,Yes,900,A great deal
3/26/2024 14:13:06,Junior,12,No,6,yes,Male,15,Sunday,35,4,5,1,right front,72,100,23,0,56,4,0,No,No,0,A great deal
3/26/2024 14:45:28,Junior,18,No,8,yes,Male,40,Thursday,80,3,2,1,right back,74,105,1,168,214,27,50000,Yes,Yes,1500,A great deal
3/26/2024 14:57:37,Sophomore,15,No,7,No,Male,10,Wednesday,100,4,5,2,right back,5.9,200,2,6,100,8,100,No,No,1400,Somewhat
3/26/2024 15:57:44,Sophomore,19,No,8,yes,Male,20,Wednesday,55,15,3,1,right back,71,110,20,250,700,20,25000,No,No,1100,Not al all
3/26/2024 15:58:47,Sophomore,12,No,7,No,Male,25,Friday,65,12,3,0,left back,70,110,20,250,650,12,"10,500",No,No,2500,A great deal
3/26/2024 16:42:07,Junior,14,No,6.5,No,Female,6,Thursday,70,3,4,1,left front,63,90,10,40,456,20,5000,Yes,No,800,A great deal
3/26/2024 18:56:21,Sophomore,15,No,7,yes,Male,20,Monday,25,4,5,2,right front,64,95,19,30,30,6,4000,Yes,No,1490,Somewhat
3/26/2024 19:37:44,Junior,8,Sometimes,6.5,No,Female,24,Saturday,120,23,5,4,left back,68,98,30,31,242,5,2189,Yes,Yes,2710,A great deal
3/26/2024 20:05:58,Freshman,18,No,8,yes,Male,20,Tuesday,23,8,4,1,left front,5,80,0,30,840,4,0,Yes,No,1400,Somewhat
